u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
-4.202169	-0.399702	0.522235	-0.001321	0.449054	0.048403	-0.069578	0.080395	1	2	9
-4.202169	-0.399702	0.522235	-0.001321	0.449054	0.048403	-0.069578	0.080395	2	2	9
-4.202169	-0.399702	0.522235	-0.001321	0.449054	0.048403	-0.069578	0.080395	3	2	9
-3.175704	-0.471101	0.530337	-0.036971	0.499817	-0.023028	0.070079	-0.020672	1	3	9
-3.175704	-0.471101	0.530337	-0.036971	0.499817	-0.023028	0.070079	-0.020672	2	3	9
-3.175704	-0.471101	0.530337	-0.036971	0.499817	-0.023028	0.070079	-0.020672	3	3	9
-3.663183	-0.487946	0.562323	-0.203417	0.530404	0.063071	-0.003805	-0.030394	1	4	9
-3.663183	-0.487946	0.562323	-0.203417	0.530404	0.063071	-0.003805	-0.030394	2	4	9
-3.663183	-0.487946	0.562323	-0.203417	0.530404	0.063071	-0.003805	-0.030394	3	4	9
-3.233632	-0.528730	0.547176	0.120279	0.491514	-0.001218	-0.022931	0.103028	1	5	9
-3.233632	-0.528730	0.547176	0.120279	0.491514	-0.001218	-0.022931	0.103028	2	5	9
-3.233632	-0.528730	0.547176	0.120279	0.491514	-0.001218	-0.022931	0.103028	3	5	9
-3.753115	-0.472197	0.590953	0.102118	0.449054	0.087774	-0.075087	0.116357	1	6	9
-3.753115	-0.472197	0.590953	0.102118	0.449054	0.087774	-0.075087	0.116357	2	6	9
-3.753115	-0.472197	0.590953	0.102118	0.449054	0.087774	-0.075087	0.116357	3	6	9
-2.675886	-0.394476	0.516474	-0.031607	0.499817	-0.003912	0.080935	0.041142	1	7	9
-2.675886	-0.394476	0.516474	-0.031607	0.499817	-0.003912	0.080935	0.041142	2	7	9
-2.675886	-0.394476	0.516474	-0.031607	0.499817	-0.003912	0.080935	0.041142	3	7	9
-3.132779	-0.498727	0.625727	-0.250461	0.530404	0.065206	-0.017748	-0.037076	1	8	9
-3.132779	-0.498727	0.625727	-0.250461	0.530404	0.065206	-0.017748	-0.037076	2	8	9
